Cloudlet ID,STATUS,Data centerID,VM ID,Tim,Start Time,Finish Time
641,SUCCESS,5,9,0.22,21.02,21.24
500,SUCCESS,3,1,0.41,20.86,21.27
442,SUCCESS,4,6,0.52,20.81,21.33
359,SUCCESS,3,3,0.36,21.02,21.38
419,SUCCESS,5,8,0.33,21.13,21.45
508,SUCCESS,3,1,0.22,21.27,21.49
552,SUCCESS,3,2,0.63,20.86,21.49
509,SUCCESS,4,4,0.62,20.92,21.54
645,SUCCESS,5,9,0.34,21.24,21.58
395,SUCCESS,4,5,0.43,21.22,21.65
452,SUCCESS,4,6,0.32,21.33,21.65
566,SUCCESS,3,2,0.19,21.49,21.68
658,SUCCESS,5,9,0.15,21.58,21.73
572,SUCCESS,3,2,0.11,21.68,21.79
487,SUCCESS,5,7,0.6,21.24,21.84
524,SUCCESS,4,4,0.42,21.54,21.96
516,SUCCESS,3,1,0.51,21.49,22
430,SUCCESS,5,8,0.57,21.45,22.02
406,SUCCESS,4,5,0.42,21.65,22.07
459,SUCCESS,4,6,0.42,21.65,22.07
363,SUCCESS,3,3,0.73,21.38,22.11
504,SUCCESS,5,7,0.3,21.84,22.13
408,SUCCESS,4,5,0.11,22.07,22.18
573,SUCCESS,3,2,0.43,21.79,22.22
662,SUCCESS,5,9,0.52,21.73,22.24
468,SUCCESS,4,6,0.22,22.07,22.29
438,SUCCESS,5,8,0.33,22.02,22.35
585,SUCCESS,3,2,0.16,22.22,22.39
534,SUCCESS,4,4,0.44,21.96,22.4
526,SUCCESS,3,1,0.49,22,22.5
374,SUCCESS,3,3,0.38,22.11,22.5
507,SUCCESS,5,7,0.38,22.13,22.52
675,SUCCESS,5,9,0.39,22.24,22.64
543,SUCCESS,4,4,0.38,22.4,22.78
444,SUCCESS,5,8,0.42,22.35,22.78
535,SUCCESS,3,1,0.31,22.5,22.81
473,SUCCESS,4,6,0.6,22.29,22.89
692,SUCCESS,5,9,0.25,22.64,22.89
586,SUCCESS,3,2,0.53,22.39,22.92
414,SUCCESS,4,5,0.82,22.18,23
696,SUCCESS,5,9,0.11,22.89,23
542,SUCCESS,3,1,0.22,22.81,23.03
379,SUCCESS,3,3,0.53,22.5,23.03
558,SUCCESS,4,4,0.33,22.78,23.11
514,SUCCESS,5,7,0.59,22.52,23.11
597,SUCCESS,3,2,0.22,22.92,23.14
486,SUCCESS,4,6,0.35,22.89,23.24
453,SUCCESS,5,8,0.46,22.78,23.24
701,SUCCESS,5,9,0.37,23,23.37
389,SUCCESS,3,3,0.37,23.03,23.4
523,SUCCESS,5,7,0.37,23.11,23.48
461,SUCCESS,5,8,0.24,23.24,23.48
548,SUCCESS,3,1,0.48,23.03,23.51
603,SUCCESS,3,2,0.37,23.14,23.51
611,SUCCESS,3,2,0.11,23.51,23.62
397,SUCCESS,3,3,0.22,23.4,23.62
560,SUCCESS,4,4,0.54,23.11,23.64
465,SUCCESS,5,8,0.22,23.48,23.7
424,SUCCESS,4,5,0.76,23,23.75
717,SUCCESS,5,9,0.46,23.37,23.83
492,SUCCESS,4,6,0.63,23.24,23.86
559,SUCCESS,3,1,0.39,23.51,23.9
731,SUCCESS,5,9,0.11,23.83,23.94
533,SUCCESS,5,7,0.57,23.48,24.05
736,SUCCESS,5,9,0.11,23.94,24.05
616,SUCCESS,3,2,0.47,23.62,24.09
571,SUCCESS,4,4,0.45,23.64,24.09
505,SUCCESS,4,6,0.34,23.86,24.2
399,SUCCESS,3,3,0.62,23.62,24.24
741,SUCCESS,5,9,0.22,24.05,24.26
568,SUCCESS,3,1,0.45,23.9,24.35
544,SUCCESS,5,7,0.33,24.05,24.37
471,SUCCESS,5,8,0.78,23.7,24.48
626,SUCCESS,3,2,0.41,24.09,24.49
554,SUCCESS,5,7,0.22,24.37,24.59
435,SUCCESS,4,5,0.86,23.75,24.61
747,SUCCESS,5,9,0.44,24.26,24.7
407,SUCCESS,3,3,0.49,24.24,24.72
